season,round,game,home,team,points,points_against,opponent,avgPD,avgPD_opp,wins,wins_opp,points_diff,win,draw
11_12,14,80,1,harlequins,30,23,irish,7.769230769,0.615384615,11,6,7,1,0
11_12,14,81,1,bath,30,24,newcastle,-1.307692308,-11.84615385,5,2,6,1,0
11_12,14,82,1,gloucester,27,24,northampton,1.615384615,8.153846154,5,8,3,1,0
11_12,14,83,1,exeter,19,11,leicester,-0.769230769,2.384615385,6,7,8,1,0
11_12,14,84,1,wasps,17,22,saracens,-6.461538462,5.384615385,4,10,-5,0,0
11_12,15,85,0,gloucester,14,11,bath,1.714285714,-0.785714286,6,6,3,1,0
11_12,15,86,0,irish,10,19,newcastle,0.071428571,-11.42857143,6,2,-9,0,0
11_12,15,87,0,sale,17,24,northampton,-1.714285714,7.357142857,7,8,-7,0,0
11_12,15,88,0,exeter,15,12,wasps,-0.142857143,-6.357142857,7,4,3,1,0
11_12,15,89,0,worcester,14,16,harlequins,-3.428571429,7.714285714,5,12,-2,0,0
11_12,15,90,0,leicester,20,19,saracens,1.642857143,5.357142857,7,11,1,1,0
11_12,15,85,1,bath,11,14,gloucester,-0.785714286,1.714285714,6,6,-3,0,0
11_12,15,86,1,newcastle,19,10,irish,-11.42857143,0.071428571,2,6,9,1,0
11_12,15,87,1,northampton,24,17,sale,7.357142857,-1.714285714,8,7,7,1,0
11_12,15,88,1,wasps,12,15,exeter,-6.357142857,-0.142857143,4,7,-3,0,0
11_12,15,89,1,harlequins,16,14,worcester,7.714285714,-3.428571429,12,5,2,1,0
11_12,15,90,1,saracens,19,20,leicester,5.357142857,1.642857143,11,7,-1,0,0
11_12,16,91,0,wasps,34,46,sale,-6.133333333,-2.066666667,4,7,-12,0,0
11_12,16,92,0,saracens,11,16,worcester,4.933333333,-3.333333333,11,5,-5,0,0
11_12,16,93,0,newcastle,15,42,leicester,-10.06666667,1.6,3,8,-27,0,0
11_12,16,94,0,bath,12,9,exeter,-0.933333333,0.066666667,6,8,3,1,0
11_12,16,95,0,harlequins,23,29,gloucester,7.333333333,1.8,13,7,-6,0,0
