,team,points,points_against,opponent,points_diff,win,sale_home,irish_home,exeter_home,wasps_home,northampton_home,yorkshire_home,newcastle_home,harlequins_home,bath_home,gloucester_home,leicester_home,saracens_home,sale,irish,exeter,wasps,northampton,yorkshire,newcastle,harlequins,bath,gloucester,leicester,saracens,newcastle_opp,saracens_opp,gloucester_opp,harlequins_opp,leicester_opp,bath_opp,wasps_opp,northampton_opp,irish_opp,yorkshire_opp,exeter_opp,sale_opp,game,negatives,sale_points,irish_points,exeter_points,wasps_points,northampton_points,yorkshire_points,newcastle_points,harlequins_points,bath_points,gloucester_points,leicester_points,saracens_points,sale_win,irish_win,exeter_win,wasps_win,northampton_win,yorkshire_win,newcastle_win,harlequins_win,bath_win,gloucester_win,leicester_win,saracens_win,round,1011
45,wasps,33.0,25.0,irish,8.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,46,-1,0.0,25.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,8,1
46,newcastle,12.0,6.0,gloucester,6.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,47,-1,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,8,1
47,bath,13.0,17.0,saracens,-4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,48,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
48,northampton,35.0,23.0,irish,12.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,49,-1,0.0,23.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,9,1
49,exeter,24.0,19.0,sale,5.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,-1,19.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,9,1
50,leicester,44.0,19.0,newcastle,25.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,51,-1,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,44.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,9,1
51,gloucester,19.0,13.0,saracens,6.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,52,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,13.0,0,0,0,0,0,0,0,0,0,1,0,1,9,1
52,bath,6.0,11.0,wasps,-5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,53,-1,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
53,harlequins,51.0,18.0,yorkshire,33.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,54,-1,0.0,0.0,0.0,0.0,0.0,18.0,0.0,51.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,9,1
54,irish,14.0,23.0,leicester,-9.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,55,-1,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
