1011,1112,1213,1314,1415,bath,bath_home,bath_opp,exeter,exeter_home,exeter_opp,game,gloucester,gloucester_home,gloucester_opp,harlequins,harlequins_home,harlequins_opp,irish,irish_home,irish_opp,leicester,leicester_home,leicester_opp,newcastle,newcastle_home,newcastle_opp,northampton,northampton_home,northampton_opp,opponent,points,points_against,points_diff,round,sale,sale_home,sale_opp,saracens,saracens_home,saracens_opp,team,wasps,wasps_home,wasps_opp,welsh,welsh_home,welsh_opp,win,worcester,worcester_home,worcester_opp,yorkshire,yorkshire_home,yorkshire_opp
1,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,saracens,15,26,-11,15,0,0,0,1,0,1,wasps,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,newcastle,5,22,-17,15,0,0,0,0,0,0,yorkshire,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,91,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,harlequins,33,18,15,16,0,0,0,0,0,0,newcastle,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,1,0,1,0,0,0,92,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bath,34,22,12,16,0,0,0,0,0,0,gloucester,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,saracens,14,15,-1,16,0,0,0,1,0,1,leicester,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,1,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,northampton,30,9,21,16,0,0,0,0,0,0,exeter,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sale,33,26,7,16,1,0,1,0,0,0,wasps,1,1,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,irish,27,19,8,16,0,0,0,0,0,0,yorkshire,0,0,0,0,0,0,1,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,northampton,13,23,-10,17,0,0,0,0,0,0,yorkshire,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yorkshire,15,12,3,17,1,1,0,0,0,0,sale,0,0,0,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,99,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,gloucester,53,15,38,17,0,0,0,0,0,0,harlequins,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,1,100,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,exeter,39,17,22,17,0,0,0,0,0,0,irish,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,1,1,0,0,0,0,101,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,leicester,6,37,-31,17,0,0,0,0,0,0,bath,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,wasps,39,3,36,17,0,0,0,0,0,0,northampton,1,0,1,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,newcastle,24,9,15,18,0,0,0,1,1,0,saracens,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,sale,53,24,29,18,1,0,1,0,0,0,northampton,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,105,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,newcastle,34,9,25,18,0,0,0,0,0,0,gloucester,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,106,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,leicester,13,17,-4,18,0,0,0,0,0,0,harlequins,0,0,0,0,0,0,0,0,0,0,0,0,0
