,team,points,points_against,opponent,points_diff,win,irish_home,leicester_home,worcester_home,saracens_home,newcastle_home,northampton_home,harlequins_home,sale_home,exeter_home,gloucester_home,bath_home,wasps_home,irish,leicester,worcester,saracens,newcastle,northampton,harlequins,sale,exeter,gloucester,bath,wasps,harlequins_opp,exeter_opp,sale_opp,wasps_opp,bath_opp,gloucester_opp,northampton_opp,irish_opp,newcastle_opp,worcester_opp,saracens_opp,leicester_opp,game,negatives,irish_points,leicester_points,worcester_points,saracens_points,newcastle_points,northampton_points,harlequins_points,sale_points,exeter_points,gloucester_points,bath_points,wasps_points,irish_win,leicester_win,worcester_win,saracens_win,newcastle_win,northampton_win,harlequins_win,sale_win,exeter_win,gloucester_win,bath_win,wasps_win,round,1112
59,wasps,16.0,22.0,harlequins,-6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,60,-1,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
60,northampton,22.0,13.0,bath,9.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,61,-1,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,13.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,11,1
61,sale,27.0,19.0,newcastle,8.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,62,-1,0.0,0.0,0.0,0.0,19.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,11,1
62,gloucester,39.0,10.0,wasps,29.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,63,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,10.0,0,0,0,0,0,0,0,0,0,1,0,1,11,1
63,irish,29.0,22.0,exeter,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,64,-1,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,11,1
64,worcester,13.0,32.0,leicester,-19.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,-1,0.0,32.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
65,harlequins,11.0,19.0,saracens,-8.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,66,-1,0.0,0.0,0.0,19.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
66,newcastle,14.0,32.0,northampton,-18.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,67,-1,0.0,0.0,0.0,0.0,14.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
67,exeter,9.0,11.0,harlequins,-2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,68,-1,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,9.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
68,bath,30.0,3.0,irish,27.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,69,-1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,12,1
69,saracens,15.0,15.0,gloucester,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,70,-1,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
